ID,Manufacturer,Model,Category,Mileage,Gear box type,Doors,Wheel,Color,Interior color,VIN,Leather interior,Price,Customs
45600865,MERCEDES-BENZ,Sprinter,Microbus,2147483647 km,Tiptronic,2/3,Left wheel,White,Black,,1,16800,
45596456,NISSAN,Juke,Jeep,129128 km,Automatic,4/5,Left wheel,White,,JN8AF5MV2DT218035,1,775,530
45650437,TOYOTA,Highlander,Jeep,225464 km,Automatic,4/5,Left wheel,,Black,JTEDC3EH1C2004166,1,250,1058
45776408,OPEL,Astra astra,Goods wagon,290000 km,Manual,4/5,Left wheel,Red,Red,,0,797,
45805351,FORD,Transit,Microbus,0 km,Manual,4/5,Left wheel,Silver,Grey,,0,Price negotiable,1680
45743813,BMW,X5,Jeep,230000 km,Tiptronic,4/5,Left wheel,Grey,Black,,1,13000,
45791379,SUBARU,Forester,Jeep,16843 km,Automatic,4/5,Left wheel,Blue,Grey,JF2SJABC9HH532901,1,Price negotiable,1249
45776407,MERCEDES-BENZ,S 350 Longia,Sedan,555 km,Tiptronic,4/5,Left wheel,Silver,Black,,1,1400,
45628888,TOYOTA,Highlander,Jeep,260053 km,Automatic,4/5,Left wheel,Silver,Black,JTEEW41A082007383,1,175,1750
45650402,TOYOTA,Highlander,Jeep,109344 km,Automatic,4/5,Left wheel,White,Black,5TDDCRFH9GS019499,1,3400,690
45805335,BMW,X6,Jeep,30928 km,Automatic,4/5,Left wheel,White,Brown,5UXKU2C51J0Z61111,1,Price negotiable,87
45685903,MERCEDES-BENZ,E 320,Sedan,217600 km,Automatic,4/5,Left wheel,Silver,Black,,1,4600,
45805324,NISSAN,March,Hatchback,136000 km,Automatic,4/5,Right-hand drive,Sky blue,Grey,,0,1900,
45791374,SUBARU,Forester,Jeep,73531 km,Automatic,4/5,Left wheel,Black,,JF2SJAEC6HH547433,1,Price negotiable,87
45776402,HYUNDAI,Sonata,Sedan,162000 km,Tiptronic,4/5,Left wheel,Black,Beige,,0,5600,751
45628852,TOYOTA,Highlander,Jeep,157211 km,Automatic,4/5,Left wheel,White,Black,JTEDC3EH7C2006620,1,3150,1058
45650375,TOYOTA,Highlander,Jeep,315147 km,Automatic,4/5,Left wheel,White,Black,JTEEW41A282020667,1,Price negotiable,1750
45743902,JEEP,Grand Cherokee,Jeep,156669 km,Automatic,4/5,Left wheel,Silver,Black,,1,12463,1086
45791371,SUBARU,Forester,Jeep,69834 km,Automatic,4/5,Left wheel,Black,,JF2SJAGCXHH508941,1,Price negotiable,1249
45805316,MERCEDES-BENZ,Sprinter,Microbus,185000 km,Manual,4/5,Left wheel,White,Beige,,0,Price negotiable,911
45650340,TOYOTA,Highlander,Jeep,252907 km,Automatic,4/5,Left wheel,,Black,JTEBC3EH5B2001826,1,Price negotiable,1172
45743883,JEEP,Grand Cherokee,Jeep,95403 km,Automatic,4/5,Left wheel,Black,Black,,1,15228,917
45628813,TOYOTA,Highlander,Jeep,264877 km,Automatic,4/5,Left wheel,White,Black,JTEJW3EH5A2048016,1,1800,1324
45776397,BMW,320,Sedan,154000 km,Tiptronic,4/5,Left wheel,Black,Black,000000,1,Price negotiable,
45791365,SUBARU,Forester,Jeep,49501 km,Automatic,4/5,Left wheel,Green,,JF2SJAEC9HH540332,1,Price negotiable,87
45801450,HYUNDAI,Accent,Sedan,147320 km,Automatic,4/5,Left wheel,White,Black,,1,4500,528
45628767,TOYOTA,Highlander,Jeep,0 km,Automatic,4/5,Left wheel,Silver,Black,JTEEW41A382019673,1,100,1750
45650301,TOYOTA,Highlander,Jeep,269013 km,Automatic,4/5,Left wheel,Black,Black,JTEEW44A882015761,1,175,1750
45791362,HONDA,Pilot,Jeep,1000 km,Automatic,4/5,Left wheel,Grey,Grey,,1,2519,
45743868,JEEP,Grand Cherokee,Jeep,58571 km,Automatic,4/5,Left wheel,Silver,Black,,1,14933,1203
45573325,TOYOTA,Prius,Hatchback,77777 km,Automatic,4/5,Left wheel,Red,Grey,,0,3200,
45801442,HYUNDAI,Accent,Hatchback,52352 km,Automatic,4/5,Left wheel,Black,Black,,1,2950,531
45717284,TOYOTA,Camry,Sedan,176000 km,Variator,4/5,Left wheel,White,Grey,,0,7000,781
45776351,MERCEDES-BENZ,CLK 200,Coupe,87000 km,Tiptronic,2/3,Right-hand drive,Silver,Black,,0,2838,
45628726,TOYOTA,Highlander,Jeep,202198 km,Automatic,4/5,Left wheel,Black,Black,JTEEW41A392027368,1,Price negotiable,1537
45647619,TOYOTA,Camry,Sedan,71326 km,Automatic,4/5,Left wheel,Black,Black,4T1B11HK7JU561383,1,Price negotiable,609
42975147,BMW,328,Sedan,151463 km,Automatic,4/5,Left wheel,Red,Black,WBA3A5G50DNP23667,1,6200,642
45801432,HYUNDAI,Accent,Sedan,109876 km,Automatic,4/5,Left wheel,White,Black,,1,7006,738
45743836,TOYOTA,Ist,Hatchback,140000 km,Automatic,4/5,Right-hand drive,White,Black,,0,2750,
45628697,TOYOTA,Highlander,Jeep,472304 km,Automatic,4/5,Left wheel,White,Black,JTEEW44A892027474,1,250,1537
45676650,TOYOTA,Prius,Sedan,193000 km,Automatic,4/5,Left wheel,Grey,Grey,JTDKN3DU2C1572338,0,5999,586
45647603,TOYOTA,Camry,Sedan,127515 km,Automatic,4/5,Left wheel,Black,Black,JTNB11HK1J3025308,1,3100,609
42971782,CHEVROLET,Cruze,Sedan,15333 km,Automatic,4/5,Left wheel,White,Black,1G1BC5SM7J7224753,0,5400,781
45801421,HYUNDAI,Accent,Sedan,191108 km,Automatic,4/5,Left wheel,Black,Black,,1,4609,629
45743685,OPEL,Vectra,Sedan,0 km,Automatic,4/5,Left wheel,Silver,Black,,0,1700,
45628543,TOYOTA,Highlander,Sedan,248667 km,Automatic,4/5,Left wheel,Silver,Black,5TDYK3EH3CS050096,1,Price negotiable,1058
45647584,TOYOTA,Camry,Sedan,125571 km,Automatic,4/5,Left wheel,Grey,Black,4T1BD1FK2CU061404,1,Price negotiable,781
45801413,HYUNDAI,Accent,Sedan,41986 km,Automatic,4/5,Left wheel,Grey,Black,,1,4500,530
45776281,FORD,Escape,Jeep,128000 km,Automatic,4/5,Left wheel,Silver,Black,1FMCU9E7XCKB05158,1,4600,831
45743817,MERCEDES-BENZ,Sprinter,Microbus,111111 km,Automatic,2/3,Left wheel,White,Black,,1,Price negotiable,
42655225,KIA,SOUL,Jeep,85985 km,Manual,4/5,Left wheel,Grey,Black,KNDJN2A25F7186457,0,4450,629
45628521,TOYOTA,Highlander,Sedan,623768 km,Automatic,4/5,Left wheel,Black,Black,5TDBK3EH3DS190981,1,Price negotiable,1055
45791354,HYUNDAI,Elantra,Sedan,37000 km,Tiptronic,4/5,Left wheel,Golden,Black,,1,6200,697
45743797,JEEP,Compass,Jeep,185882 km,Automatic,4/5,Left wheel,Black,Black,,1,4658,1296
45776275,MITSUBISHI,Mirage,Hatchback,111111 km,Automatic,4/5,Right-hand drive,Golden,White,,0,2300,875
45647572,TOYOTA,Camry,Sedan,110792 km,Automatic,4/5,Left wheel,Grey,Black,4T1BD1FK8CU027841,1,Price negotiable,781
45801407,HYUNDAI,Accent,Sedan,100000 km,Automatic,4/5,Left wheel,White,Black,,1,5899,730
45776246,SUBARU,Forester,Jeep,53000 km,Tiptronic,4/5,Left wheel,Black,Black,,1,7200,1091
45628489,TOYOTA,Highlander,Sedan,0 km,Automatic,4/5,Left wheel,White,Black,JTEJW3EH7A2040693,1,Price negotiable,1324
45647558,TOYOTA,Camry,Sedan,524475 km,Automatic,4/5,Left wheel,Black,Black,4T1BD1FK3EU126456,1,Price negotiable,394
45743785,BMW,"523 2,8 1 ვანუსი",Sedan,290000 km,Tiptronic,4/5,Left wheel,Green,Grey,,1,1800,
42564404,TOYOTA,Aqua,Hatchback,80000 km,Automatic,4/5,Right-hand drive,Sky blue,Beige,,0,Price negotiable,
45792513,KIA,Optima,Sedan,52192 km,Automatic,4/5,Left wheel,Grey,Black,,1,3093,640
45743766,JEEP,Compass,Jeep,144799 km,Automatic,4/5,Left wheel,Silver,Black,,1,4658,1296
45791345,SUBARU,Crosstrek,Jeep,50592 km,Automatic,4/5,Left wheel,Black,Black,JF2GTADC8JH299001,1,Price negotiable,1079
45776196,HYUNDAI,Grandeur,Sedan,122000 km,Automatic,4/5,Left wheel,White,Black,,1,10300,
45792479,KIA,Optima,Sedan,43618 km,Automatic,4/5,Left wheel,Silver,Black,,1,5103,890
45628460,TOYOTA,Highlander,Jeep,225464 km,Automatic,4/5,Left wheel,,Black,JTEDC3EH1C2004166,1,250,1058
45647542,TOYOTA,Camry,Sedan,281557 km,Automatic,4/5,Left wheel,Blue,Black,4T1BD1FK7CU027197,1,Price negotiable,781
45743745,JEEP,Compass,Jeep,167510 km,Automatic,4/5,Left wheel,Red,Black,,1,5959,1141
45791340,SUBARU,Crosstrek,Jeep,60482 km,Automatic,4/5,Left wheel,Blue,Black,JF2GTADC0JH317216,1,Price negotiable,1079
45614167,MERCEDES-BENZ,E 350,Sedan,138384 km,Automatic,4/5,Left wheel,Black,,WDBUF87X39B379884,1,225,1624
45647529,TOYOTA,Camry,Sedan,109798 km,Automatic,4/5,Left wheel,White,Black,4T1BD1FK5EU128824,1,1750,394
45743730,JEEP,Compass,Jeep,129776 km,Automatic,4/5,Left wheel,White,Black,,1,8349,831
45776194,VOLKSWAGEN,Jetta,Sedan,102400 km,Automatic,4/5,Left wheel,Silver,Black,3VWD17AJ5FM240209,1,6200,
45503993,HYUNDAI,Sonata,Sedan,120000 km,Automatic,4/5,Left wheel,Blue,Grey,,0,7700,900
45791335,SUBARU,Forester,Jeep,32069 km,Automatic,4/5,Left wheel,Blue,,JF2SJAWC7HH580116,1,Price negotiable,1249
45743721,JEEP,Wrangler,Jeep,93635 km,Automatic,4/5,Left wheel,White,Black,,1,25072,862
45647518,TOYOTA,Camry,Sedan,314373 km,Automatic,4/5,Left wheel,Grey,Black,4T1BD1FK2CU027785,1,125,781
45776189,TOYOTA,RAV 4,Jeep,0 km,Automatic,4/5,Left wheel,Black,Black,,0,2100,
45585647,MERCEDES-BENZ,GL 450,Jeep,88000 km,Automatic,4/5,Left wheel,Black,Beige,,1,12000,1514
45614156,MERCEDES-BENZ,E 350,Sedan,0 km,Automatic,4/5,Left wheel,White,,WDDHF8HB0BA481599,1,Price negotiable,1172
45791315,FORD,Focus,Hatchback,136000 km,Automatic,4/5,Left wheel,Carnelian red,Black,,0,4300,
44143440,MERCEDES-BENZ,C 280,Sedan,100000 km,Automatic,4/5,Left wheel,Black,Black,,1,1700,
45743703,JEEP,Compass,Jeep,96935 km,Automatic,4/5,Left wheel,White,Black,,1,7791,753
45543581,HONDA,FIT LX,Hatchback,1532 km,Automatic,4/5,Left wheel,White,Black,3HGGK5H45KM727195,0,6000,830
45646997,TOYOTA,Camry,Sedan,144749 km,Automatic,4/5,Left wheel,Black,Black,4T4BF1FK3DR322783,1,Price negotiable,779
45614147,MERCEDES-BENZ,E 350,Sedan,393248 km,Automatic,4/5,Left wheel,White,,WDBUF87X28B247519,1,Price negotiable,1850
45791327,SUBARU,Forester,Coupe,57613 km,Automatic,4/5,Left wheel,Silver,Black,JF2SJAGC4JH495268,1,Price negotiable,87
45776111,TOYOTA,Prius,Sedan,189000 km,Automatic,4/5,Left wheel,White,Black,,0,Price negotiable,
45614139,MERCEDES-BENZ,E 350,Sedan,140944 km,Automatic,4/5,Left wheel,White,,WDDHF5GB8BA406780,1,1650,1172
45743693,JEEP,Grand Cherokee,Jeep,172762 km,Automatic,4/5,Left wheel,Grey,Black,,1,14551,1083
45791322,SUBARU,Forester,Jeep,20194 km,Automatic,4/5,Left wheel,Green,Grey,JF2SJAECXJH447468,1,Price negotiable,87
45471355,TOYOTA,Prius,Hatchback,155126 km,Automatic,4/5,Left wheel,Golden,Beige,JTDKN3DU1A0098322,1,3700,761
45646979,TOYOTA,Camry,Sedan,27406 km,Automatic,4/5,Left wheel,White,Black,4T1B11HK7KU203234,1,Price negotiable,607
45776107,MERCEDES-BENZ,C 230 2.0 kompresor,Sedan,260000 km,Manual,4/5,Right-hand drive,Blue,Blue,,0,2100,
45614121,MERCEDES-BENZ,E 350,Sedan,135211 km,Automatic,,Left wheel,Blue,,WDDKK5GF0BF075118,1,300,1172
45743676,JEEP,Compass,Jeep,135000 km,Automatic,4/5,Left wheel,White,Black,,1,9538,751
45791318,SUBARU,Forester,Jeep,115750 km,Automatic,4/5,Left wheel,White,Grey,JF2SJAAC3JH571443,1,Price negotiable,87
44997695,FORD,Escape SE,Jeep,83602 km,Automatic,4/5,Left wheel,Black,Black,1FMCU9G9XFUA86702,1,5150,639
45646967,TOYOTA,Camry,Sedan,0 km,Automatic,4/5,Left wheel,Brown,Black,4T1B31HK1KU008322,1,Price negotiable,607
45614039,MERCEDES-BENZ,E 350,Sedan,184467 km,Automatic,4/5,Left wheel,White,,WDDHF5KB7EA779112,1,300,1053
45776099,TOYOTA,Prius,Hatchback,252800 km,Variator,4/5,Left wheel,Silver,Grey,JTDKB20U887790961,0,4000,843
45743671,JEEP,Compass,Jeep,111740 km,Automatic,4/5,Left wheel,Grey,Black,,1,6848,1141
45791313,SUBARU,Forester,Jeep,31283 km,Automatic,4/5,Left wheel,White,,JF2SJGEC4JH435903,1,Price negotiable,1079
45646955,TOYOTA,Camry,Sedan,110792 km,Automatic,4/5,Left wheel,Grey,Black,4T1BD1FK8CU027841,1,Price negotiable,781
45743656,JEEP,Compass,Jeep,22646 km,Automatic,4/5,Left wheel,Black,Black,,1,15370,900
45614014,MERCEDES-BENZ,E 350,Sedan,289472 km,Automatic,4/5,Left wheel,White,,WDDHF2EBXBA407026,1,Price negotiable,1018
43611740,TOYOTA,Camry SE,Sedan,52359 km,Automatic,4/5,Left wheel,Carnelian red,Black,4T1BF1FK4HU712047,1,8500,1091
45776079,BMW,X5,Jeep,300000 km,Tiptronic,4/5,Left wheel,Black,Black,,1,5500,
45759557,MERCEDES-BENZ,220,Sedan,400000 km,Tiptronic,4/5,Right-hand drive,Silver,Black,,0,Price negotiable,
45791308,SUBARU,Forester,Jeep,133176 km,Automatic,4/5,Left wheel,Black,Grey,JF2SJABC7JH547709,1,Price negotiable,1327
